eng,hi,indic_trans_translated
"We may investigate any violation of these Terms, including unauthorized use of the Site.",हम इस साइट के अनधिकृत उपयोग सहित इन शर्तों के किसी भी प्रकार के उल्लंघन की जाँच कर सकते हैं।,We can investigate any kind of violation of these conditions including unauthorized use of this site.
We may provide law enforcement with information you provide to us related to your transactions to assist in any investigation or prosecution of you.,हम किसी भी जाँच या वाद के संदर्भ में सहायता प्रदान करने हेतु आपके लेनदेन से संबंधित सूचना को कानूनी रूप से प्रवर्तन निर्देशालय को प्रदान कर सकते हैं।,"We may, by law, provide information relating to your transactions to the Enforcement Directorate for providing assistance in respect of any investigation or litigation."
We may take legal action that we feel is appropriate.,हम किसी भी प्रकार के वाद या उल्लंघन से संबंधित मामलों में उपयुक्त कानूनी कार्रवाई कर सकते हैं।,We can take appropriate legal action in case of any litigation or violation.
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards,विश्व स्वास्थ्य संगठन के अनुसार पोषण मापक बच्चों के विभिन्न प्रकार के स्वास्थ्य स्थितियों की पहचान करने में सहायता प्रदान करता है,"According to the World Health Organization (WHO), nutrition measurement helps identify different types of health conditions in children"
How to take care of weak newborn with the help of Kangaroo Mother Care,कंगारु मदर केयर के साथ अपने कमजोर नवजात बच्चों की देखभाल कैसे करें,How to take care of your weak newborn with kangaroo mother care
"Any liabilities civil or criminal, arising out of any incorrect data, shall solely lie with the concerned ASP.",किसी भी गलत आँकडे से उत्पन्न होने वाली सिविल या आपराधिक देनदारियाँ पूर्णतः संबंधित ASP के पास होंगी।,The civil or criminal liability arising out of any incorrect data shall entirely rest with the concerned ASP.
Poshan Tracker App is available over Google playstore https://play. google. com/store/apps/details?,पोषण ट्रैकर ऐप गूगल प्ले स्टोर  https://play.google.com/store/apps/details?,The Poshan Tracker App is available on Google Play Store https: / / play.google.com / store / apps / details
Can App be accessed without internet?,क्या ऐप को इंटरनेट के बिना अभिगम किया जा सकता है?,Can the app be accessed without internet?
The Government has taken several initiatives to break the intergenerational cycle of malnutrition in children.,बच्चों में कुपोषण के अंतरजनपदीय चक्र को तोडने के लिए सरकार ने कई पहल की हैं।,The Government has taken several initiatives to break the inter-generational cycle of malnutrition in children.
"Adopting a life-cycle approach, interventions have been designed to meet the nutritional requirement of adolescent girls and boys, pregnant women, lactating mothers and children.","जीवन-चक्र के दृष्टिकोण को अपनाते हुए, किशोर लडकियों और लडकों, गर्भवती महिलाओं, स्तनपान कराने वाली माताओं और बच्चों की पोषण संबंधी आवश्यकता को पूरा करने के लिए हस्तक्षेपों को डिजाइन किया गया है।","Taking a life-cycle approach, interventions have been designed to meet the nutritional needs of adolescent girls and boys, pregnant women, lactating mothers and children."
Awareness for Pregnancy in Preventing Anemia,गर्भावस्था के दौरान एनीमिया से बचाव पर जागरूकता,Awareness on prevention of anemia during pregnancy
"Howrah North (U) I. C. D. S. Project, Howrah","हावडा उत्तर (यू) आईसीडीएस परियोजना, हावडा","Howrah North (U) ICDS Project, Howrah"
Birth Preparedness- For Institutional and Home Delivery,जन्म से पूर्व तैयारी-नैदानिकों और गृह प्रसव के संदर्भ में,Pre-natal preparedness - in respect of diagnostics and home delivery
New beneficiary addition with skip OTP option,स्किप ओटीपी विकल्प के साथ नई  लाभार्थी संयोजन,New beneficiary combination with skip OTP option
We are now available on Video Conference,अब हम वीडियो कॉन्फ्रेंस पर उपलब्ध हैं,We are now available through video conference
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms.",पोषण ट्रैकर ऐप आंगनवाडी कार्यकर्ताओं के लिए है जो आंगनवाडी केंद्रों के लाभार्थियों के डेटा को प्रपत्रों में दर्ज करता है।,The POSHAN Tracker App is for Anganwadi Workers which captures the data of beneficiaries of Anganwadi Centres in the form.
It is not at all developed for general public.,यह आम जनता के लिए बिल्कुल भी विकसित नहीं है।,It is not at all developed for the general public.
Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak / Balika Spardha Mission is about celebrating the health of children in India.
It entails identification and awareness of health conditions and providing necessary support wherever required.,It entails identification and awareness of health conditions and providing necessary support wherever required.,It indicates identification and awareness of health conditions and providing adequate support wherever required.
”Our Privacy Policy applies when you use our Services (described below).,"""Our Privacy Policy applies when you use our Services (described below).",Our Privacy Policy applications when you use our Services (described below).
"This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared."
The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.
We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protect the security of your personal information and protecting your privacy.
How to revive your health if you are Underweight,"यदि आप कम वजन वाले हैं, तो अपने स्वास्थ्य को पुनर्जीवित कैसे करें","If you are underweight, how to revive your health"
Can a beneficiary change his/her AWC?,क्या कोई लाभार्थी अपना आँगनवाडी केंद्र परिवर्तित कर सकता है?,Can any beneficiary change his Anganwadi Centre?
"We use the information we have, to help verify accounts.",खातों को सत्यापित करने में सहायता के लिए हम अपने पास मौजूद सूचना का उपयोग करते हैं।,We use the information available with us to help us verify the accounts.
The records may be used for verification of health status for the purposes of Poshan Tracker control and response.,पोषण ट्रैकर नियंत्रण और प्रतिक्रिया के प्रयोजनों के लिए रिकॉर्ड का उपयोग स्वास्थ्य स्थिति के सत्यापन के लिए किया जा सकता है।,The records can be used for verification of health status for the purposes of nutrition tracker control and response.
Scan the QR Code to Download the App,ऐप डाउनलोड करने के लिए क्यूआर कोड को स्कैन करें,Scan the QR code to download the app
Who is eligible for Hot Cooked Meal?,गर्म पके हुए भोजन के लिए कौन पात्र है?,Who is eligible for hot cooked food?
Identifying and preventing Severe Acute Malnutrition,गंभीर कुपोषण की पहचान और बचाव,Identification and Prevention of Severe Malnutrition
Children who are identified as deficit on nutrition are eligible for additional food supplements.,पोषण की कमी वाले बच्चों के रूप में पहचाना जाने वाले बच्चे अतिरिक्त पूरक आहार के लिए पात्र हैं।,Children identified as malnourished children are eligible for additional supplementary diet.
Who is eligible for additional supplementary food.,अतिरिक्त पूरक भोजन के लिए कौन पात्र है।,Who is eligible for additional supplementary food.
Children between 6 months - 3 years,6 महीने से 3 साल के बीच के बच्चे,Children between 6 months to 3 years
"Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi","महिला एवं बाल विकास मंत्रालय, भारत सरकार, शास्त्री भवन, नई दिल्ली","Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi"
Care of the weak newborn baby - How many weak babies are we missing?,कमजोर नवजात शिशु की देखभाल- हमारे द्वारा कितने कमजोर शिशुओं की अनदेखी हुई है?,Weak Newborn Care - How many weak babies have we ignored?
Underweight children who received Supplementary Nutrition,पूरक पोषण प्राप्त करने वाले कम वजन के बच्चे,Low birth weight children receiving supplementary nutrition
This defense and indemnification obligation will survive this Agreement and your use of the Service and Website/App.,यह रक्षा और क्षतिपूर्ति दायित्व इस वेबसाइट/ऐप केअनुबंध और सेवा आपके उपयोग से बचे रहेंगे।,This protection and indemnity obligation will prevent you from using the contract and service of this website / app.
Identification and care of a Weak Newborn baby,कमजोर नवजात शिशु की पहचान और देखभाल,Identification and Care of Vulnerable Newborn
1.2. Information from use of services.,1.2. सेवाओं के उपयोग से प्राप्त सूचनाएँ।,1.2 Information received through use of services.
Please contact your respective Anganwadi Centre.,"कृपया, अपने संबंधित आँगनवाडी केंद्र से संपर्क करें।",Please contact your respective Anganwadi Centre.
GOBARDANGA I. C. D. S PROJECT(U),गोबरदंगा आईसीडीएस परियोजना (यू),Gobardanga ICDS Project (U)
Please fill in the form below to create a new ticket.,नया टिकट बनाने के लिए कृपया नीचे दिए गए प्रपत्र को भरें।,To get a new ticket please fill in the form given below.
Anganwadi Worker will reach out to you within 48 hours.,आँगनबाडी कार्यकर्ता 48 घंटे के अंदर आपसे संपर्क करेगी।,Anganwadi workers will contact you within 48 hours.
Please note down the ticket number for future reference.,कृपाकए भविष्यक सन्दर्भ लेल टिकट संख्या नोट करू।,Please note the ticket number for future reference.
Poshan Tracker is a project of Ministry of Women and Child Development.,पोषण ट्रैकर महिला एवं बाल विकास मंत्रालयक एकटा परियोजना अछि।,The POSHAN Tracker is a unique project of the Ministry of Women and Child Development.
Digital India Corporation is the technical partner of MoWCD.,डिजिटल इंडिया कॉर्पोरेशन महिला एवं बाल विकास मंत्रालय (MoWCD) केँ एकटा तकनीकी भागीदार अछि।,Digital India Corporation is the sole technical partner of the Ministry of Women and Child Development (MoWCD).
Poshan Tracker focuses on eradication of malnutrition from India.,पोषण ट्रैकर भारत मे कुपोषणक उन्मूलन पर केंद्रित अछि।,POSHAN tracker is focused on eliminating malnutrition in India.
It serves as a mechanism to monitor and improvise on the service delivery under Poshan Abhiyaan,सेवा वितरण पर निगरानी आ सुधार करबाक लेल पोषण अभियान केर अधीनस्थ ई एकटा तंत्रक रूप मे कार्य करैत अछि,The POSHAN Abhiyaan is working as a single window mechanism to monitor and improve service delivery
Is poshan trackers app available over Apple I Store also?,क्या ऐप्पल आई स्टोर पर भी पोषण ट्रैक ऐप उपलब्ध है?,Is POSHAN TRACK APP also available on Apple iStore?
Number of records becoming inactive and number of records migrating from one category to another,निष्क्रिय होने वाले रिकॉर्डों  की संख्या और एक श्रेणी से दूसरी श्रेणी में जाने वाले रिकॉर्डों  की संख्या,Number of Inactive Records and Number of Records going from one category to another category
In How many languages the Poshan Tracker App is available?,पोषण ट्रैकर ऐप कितनी भाषाओं में उपलब्ध है?,How many languages is the POSHAN Tracker App available?
AWWs are requested to enter their mobile numbers in the Login screen.,एडब्ल्यूडब्ल्यू से अनुरोध है कि लॉगिन स्क्रीन में अपने मोबाइल नंबर दर्ज करें।,AWW is requested to enter your mobile number in the login screen.
"An OTP will be sent to your registered mobile number, post which you are required too set your MPIN.","आपके पंजीकृत मोबाइल नंबर पर एक ओटीपी भेजा जाएगा जिसकी आपको आवश्यकता है, अपना एमपीआईएन स्थापित करें।","An OTP will be sent to your registered mobile number, which you need to set up your MPIN."
Measles Containing vaccine (MCV)/MR-2JE-2**DiphtheriaPertussis & Tetanus (DPT)-Booster-1OPV –Booster,खसरा युक्त टीका (MCV)/MR-2JE-2**डिप्थीरियापर्टुसिस और टिटनेस (DPT)-बूस्टर-1OPV-बूस्टर,Measles Contaminated Vaccine (MCV) / MR-2JE-2 * Diphtheria and Tetanus (DPT) - Booster-1OPV-Booster
The Poshan Tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on defined indicators.,यह पोषण ट्रैकर परिभाषित संकेतकों के आधार पर वास्तविक समयावधि और सभी आँगनवाडी कार्यकर्ताओं के साथ-साथ लाभार्थियों की ट्रैकिंग और निगरानी सक्षम बनाता है।,This POSHAN tracker enables real time tracking and monitoring of all Anganwadi workers as well as beneficiaries based on defined indicators.
It is built using centralized data architecture that also aligns with the digital technology systems of other ministries and programs.,इसका निर्माण केंद्रीकृत आँकडों के ढाँचों का उपयोग करके किया जाता है जिसमें अन्य मंत्रालय और उनके कार्यक्रम डिजिटल प्रणाली द्वारा एक संरेखित होते हैं।,It is built using centralized data frameworks wherein other Ministries and their programmes are aligned through a digital system.
The public dashboard helps to impart transparency on services delivered to beneficiaries,पब्लिक डैसबोर्ड का प्रमुख कार्य लाभार्थी को प्रदत सेवा में पारदर्शिता को बनाए रखने में सहायता प्रदान करना है।,The primary function of the Public Dashboard is to assist in maintaining transparency in the service rendered to the beneficiary.
Translations on the Poshan Tracker Portal & App Chabot are done by third party translators.,पोषण ट्रैकर पोर्टल और ऐप चैट-बोट पर तीसरे पक्ष के अनुवादकों द्वारा अनुवाद किया जाता है।,The POSHAN Tracker portal and App Chatbot are translated by third party translators.
"While the translations are done on a best effort basis, some of the parts may be incorrect.","हालाँकि, अनुवाद की श्रेणी को सर्वोत्तम रखने का प्रयास किया जाता है, फिर भी इसमें संभावित रूप से कुछ त्रुटियाँ पाई जा सकती हैं।","Although an attempt is made to keep the range of translations to the best, there may be a few errors that could possibly be found."
Certain files and other items on the website cannot be translated.,इस वेबसाइट पर उपलब्ध कुछ फाइलों और अन्य सामग्रियों का अनुवाद नहीं किया जा सकता है।,Some of the files and other materials available on this website cannot be translated.
"In addition, on translation, some applications and/or services may not function as expected, due to language barriers.","इसके अलावा, अनुवाद के संदर्भ में भाषा की बाधाओं के कारण कुछ एप्लिकेशन और/या सेवाएँ अपेक्षित रूप से कार्य नहीं कर सकती हैं।","Also, some applications and / or services may not function as expected due to language barriers in terms of translation."
"We are working constantly to rectify any errors, omissions, or ambiguities in the translations provided on this portal.","हम इस पोर्टल पर उपलब्ध कराए गए अनुवादों में किसी भी प्रकार की त्रुटि, चूक या अस्पष्टता को सुधारने के लिए निरंतर कार्य कर रहे हैं।","We are constantly working to correct any errors, omissions or ambiguities in the translations provided on this portal."
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA)","MGRS ने व्यापक रूप से विभिन्न जातीय और सांस्कृतिक पृष्ठभूमि (ब्राजील, घाना, भारत, नॉर्वे, ओमान और यूएसए) से लगभग 8500 बच्चों का प्राथमिक विकास का आँकडा और संबंधित जानकारी एकत्र की।","The MGRS extensively collected primary development data and related information of about 8500 children from various ethnic and cultural backgrounds (Brazil, Ghana, India, Norway, Oman and USA)."
Children of different age groups are monitored on monthly basis by AWWs.,AWW द्वारा मासिक आधार पर विभिन्न आयु वाले बच्चों की निगरानी करना।,Monitoring of children of different age groups on monthly basis by AWW.
"Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards.","स्वास्थ्य संकेतक जैसे-स्टंटिंग, वेस्टिंगऔर कम वजन से संबंधित मामलों को विश्व स्वास्थ्य संगठन के मानक के अनुसार मापा जाता है।","Health indicators such as stunting, wasting and underweight are measured as per WHO standards."
Regular growth monitoring helps AWWs to provide relevant and timely assistance to children,बच्चों को प्रासंगिक और आवधिक सहायता प्रदान करने में नियमित विकास निगरानी आँगनवाडी कार्यकर्ताओं को सक्षम बनाता है।,Regular development monitoring enables anganwadi workers to provide relevant and periodic support to children.
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","बच्चों में कुपोषण को रोकने के लिए स्टंटिंग, वेस्टिंग के प्रति जागरुकता","Awareness against stunting, wasting to prevent malnutrition in children"
Poshan Tracker adds new application features,पोषण ट्रैकर ने नई एप्लिकेशन फीचर जोडा है,POSHAN tracker adds new application feature
Making or Updating Home Visit Planner and Initiating home visits,देखभाल कर्ता की गृह यात्रा संबंधी योजनाओं का निर्माण करना और उन्हें अद्यतित करते रहना,Create and update the home visit plans of the caregiver.
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO),विश्व स्वास्थ्य संगठन द्वारा परिभाषित मानकों के आधार पर बच्चों के विकास को मापने के लिए पोषण मापक का निर्माण किया गया।,Nutritional measurement was developed to measure the development of children on the basis of standards defined by the World Health Organization.
Migrated from one category to another,एक श्रेणी से दूसरी श्रेणी में स्थानांतरण,Transfer from one category to another
It usually occurs when a person has not had food of adequate quality and quantity and/or they have had frequent or prolonged illnesses,यह आमतौर पर तब होता है जब किसी व्यक्ति ने पर्याप्त गुणवत्ता और मात्रा का भोजन नहीं किया होता है और/या उन्हें बार-बार या लंबी बीमारी होती है,This usually happens when a person does not have adequate quality and quantity of food and / or has frequent or prolonged illness
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","पोषण अभियान, एक लक्षित दृष्टिकोण और अभिसरण द्वारा बच्चों, किशोरों, गर्भवती महिलाओं और स्तनपान कराने वाली माताओं के लिए पोषण संबंधी परिणामों में सुधार करने के लिए भारत का प्रमुख कार्यक्रम है।","POSHAN Abhiyaan is India's flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers through a targeted approach and convergence."
Hot Cooked Meal (HCM) given in last 30 days,पिछले 30 दिनों में दिया गया गर्म पकाया हुआ भोजन (एचसीएम),Hot Cooked Meals (HCM) served in last 30 days
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,पोषण ट्रैकर में आँगनवाडी सेवा योजनाओं के आँकडे को अपलोड करना,Uploading of data of Anganwadi Services Schemes in POSHAN Tracker
The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries.,पोषण ट्रैकर लाभार्थियों के महत्वपूर्ण स्व-चालित संकेतकों का निर्माण करता है।,POSHAN tracker creates significant self-driven indicators of beneficiaries.
It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers.,यह लाभार्थियों और कर्तव्य धारकों की वास्तविक सामयिक उपस्थिति का दस्तावेजीकरण करके वितरण प्रणाली की कुशल लेखा परीक्षा की भी सुनिश्चितता करता है।,It also ensures efficient audit of distribution system by documenting real time attendance of beneficiaries and duty holders.
"This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact",यह प्रबंधन सूचना प्रणाली पोषण कार्यक्रम और उससे संबंधित दस्तावेजीकरण की कुशलता से वृद्धि करते हुए सकारात्मक प्रभाव को उत्पन्न करने में सहायता करेगी।,This Management Information System will help generate a positive impact by efficiently increasing the nutrition programme and documentation related to it.
How can one Download Poshan Tracker App?,पोषण ट्रैकर ऐप को कैसे डाउनलोड किया जा सकता है?,How to download the POSHAN Tracker App?
along with status update once resolved,एक बार हल हो जाने पर स्थिति अपडेट के साथ,With the status update once resolved
"The Poshan Tracker system is regularly audited by auditors engaged by MWCD, for security and scalability of the system.",इस प्रणाली की सुरक्षा और मापनीयता के लिए MWCD द्वारा नियुक्त लेखापरीक्षकों द्वारा पोषण ट्रैकर प्रणाली का नियमित रूप से लेखा-परीक्षण किया जाता है।,The nutrition tracker system is regularly audited by auditors appointed by MWCD for safety and scalability of the system.
The records may be used for such audits.,ऐसे लेखा-परीक्षण के लिए अभिलेखों का उपयोग किया जा सकता है।,Records can be used for such audit.
Poshan Tracker adds new Resources on Website,पोषण ट्रैकर ने वेबसाइट सुविधा पर नई संसाधन जोडा है,POSHAN tracker has added new resources on the website facility
"Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery","पोषण ट्रैकर के तहत प्रौद्यौगिकी का उपयोग स्टंटिंग, वेस्टिंग, कम वजन वाले बच्चों की पहचान और पोषण सेवा के वितरण को गतिशील पहचान देने में किया जा सकता है।","Under POSHAN tracker, technology can be used to provide dynamic identification for stunting, wasting, identification of underweight children and delivery of nutrition services."
