eng,as,indic_trans_translated
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards,পোষণ কেলকুলেটৰে বিশ্ব স্বাস্থ্য সংস্থা (WHO) ৰ মতে ভিত্তি কৰি শিশুোৰ বিভিন্ন স্বাস্থ্যজনিত স্থিতি চিনাক্ত কৰাত সহায কৰে,The POSHAN Calculator helps in identifying the various health conditions of the children based on the World Health Organization (WHO) report
How to take care of weak newborn with the help of Kangaroo Mother Care,কেংগাৰু মাডাৰ কেযাৰৰ সহাযত কেনেদৰে দূৰ্বল নৱজাতকৰ যতন লব লাগে,How to take care of weak newborn with the help of mother kangaroo
"Any liabilities civil or criminal, arising out of any incorrect data, shall solely lie with the concerned ASP.","কোনো অশুদ্ধ ডাটাৰ পৰা উদ্ভৱ হোৱা সামাজিক বা অপৰাধমূলক যিকোনো দাযবদ্ধতা, সম্পূৰ্ণৰূপে সংশ্লিষ্ট ASP ৰ সৈতে ন্যস্ত হ'ব।",Any social or criminal liability arising out of any incorrect data shall be solely attributable to the concerned ASP.
Poshan Tracker App is available over Google playstore https://play. google. com/store/apps/details?,পোচন ট্ৰেকাৰ এপ্প গুগল প্লেষ্ট'ৰত উপলব্ধ https://play.google.com/store/apps/details?,The POSON tracker app is available on Google Playstore at https: / / play.google.com / store / apps / details? id = html
Can App be accessed without internet?,ইণ্টাৰনেটৰ অবিহনে এপপত প্ৰৱেশ কৰিব পাৰিনে?,Can you access the app without internet?
The Government has taken several initiatives to break the intergenerational cycle of malnutrition in children.,টি গভর্নমেন্ট হস্ তাকেঁ সেভেরাল ইনিশিযেটিভস তো ব্র্যাক টি ইন্টারগেনেরাশনাল সাইকেল অফ মালনিউট্রিশন ইন চিলড্রেন.,Government has taken several initiatives to promote the use of BRAC International Cycle of Malnutrition in Children.
"Adopting a life-cycle approach, interventions have been designed to meet the nutritional requirement of adolescent girls and boys, pregnant women, lactating mothers and children.","আদপটিং এ লাইফ-সাইকেল এপ্রোচ, ইন্টারভেনশন্স হ্যাভ বিন ডিগনেড তো মেযেটি টি নিউট্রিশনাল রিকুইরেমেন্ট অফ এডোলেসেন্ট গার্লস এন্ড বযস, প্রেগন্যান্ট ওমেন, ল্যাকটেটিং মঠেরস এন্ড চিলড্রেন.","Adapting a life-cycle approach, Interventions Have Been Digned To Measure Nutrition Requirements of Adolescent Girls and Adolescent Girls, Pregnant Women, Lactating Mothers and Children."
Awareness for Pregnancy in Preventing Anemia,এনিমিযাক বাধা দিযাত গৰ্ভধাৰণৰ বাবে সজাগতা,Precautions to be taken to prevent anemia
"Howrah North (U) I. C. D. S. Project, Howrah","হাওৰা নৰ্থ (ইউ) আই. চি. ডি. এছ. প্ৰকল্প, হাওৰা","Howrah North (U) ICDS Project, Howrah"
Birth Preparedness- For Institutional and Home Delivery,জন্মৰ প্ৰস্তুতি - প্ৰতিষ্ঠান মূলক আৰু হোম ডেলিভাৰীৰ বাবে,Birth preparations - for institutional and home delivery
New beneficiary addition with skip OTP option,স্কিপ OTP  বিকল্পৰ সৈতে নতুন বেনিফিচাৰীৰ সংযোজন,Adding new benefits to the Skip OTP option
We are now available on Video Conference,আমি এতিযা ভিডিঅ' কনফাৰেন্সত উপলব্ধ,We are now available in video conference
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms.","পোষণ ট্ৰেকাৰ এপটো অংগনৱাডী কৰ্মীসকলৰ বাবে, অংগনৱাডী কেন্দ্ৰবোৰে প্ৰপত্ৰত হিতাধিকাৰীৰ তথ্য প্ৰৱেশ কৰাৰ বাবে।","The POSHAN tracker is meant for Anganwadi workers, to enter the details of the beneficiaries in the form at the Anganwadi Centers."
It is not at all developed for general public.,এইটো সাধাৰণ জনতাৰ বাবে সমূলি বিকশিত নহয।,It is not meant for the general public.
Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak / Balika Spardha Mission is about celebrating the health of children in India.
It entails identification and awareness of health conditions and providing necessary support wherever required.,It entails identification and awareness of health conditions and providing necessary support wherever required.,It indicates identification and awareness of health conditions and providing adequate support wherever required.
”Our Privacy Policy applies when you use our Services (described below).,"""Our Privacy Policy applies when you use our Services (described below).",Our Privacy Policy applies when you use our Services (described below).
"This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared."
The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.
We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protect the security of your personal information and protecting your privacy.
How to revive your health if you are Underweight,যদি আপুনি কম ওজনৰ আপোনাৰ স্বাস্থ্য কেনেদৰে পুনৰুদ্ধাৰ কৰিব,How to restore your health if you are underweight
Can a beneficiary change his/her AWC?,এগৰাকী হিতাধিকাৰীযে তেওঁৰ AWC সলনি কৰিব পাৰে নে?,Can a beneficiary change his AWC?
"We use the information we have, to help verify accounts.","আমি একাউন্ট সমূহ সত্যাপন কৰাত সহায কৰিবলৈ, আমাৰ ওচৰত থকা তথ্য সমূহ ব্যৱহাৰ কৰো।",We use the information available with us to help us verify the accounts.
The records may be used for verification of health status for the purposes of Poshan Tracker control and response.,ৰেকৰ্ড সমূহ পোষণ ট্ৰেকাৰ নিযন্ত্ৰণ আৰু সঁহাৰিৰ উদ্দেশ্যে স্বাস্থ্যৰ স্থিতি সত্যাপন কৰিবলৈ ব্যৱহাৰ কৰা হ'ব পাৰে।,The records can be used to verify the health status of the nutrition tracker for control and sustenance purposes.
Scan the QR Code to Download the App,এপ্পটো ডাউনলোড কৰিবলৈ কিউআৰ কোড স্কেন কৰক,Scan the QR code to download now
Who is eligible for Hot Cooked Meal?,হ'ট কুকড মীলৰ বাবে কোন যোগ্য?,Who is eligible for Hot Cooked Mill?
Identifying and preventing Severe Acute Malnutrition,জটিল তীব্ৰ বিষমপুষ্টি চিনাক্ত কৰা আৰু বাধা দিযা,Identifying and preventing complex acute malnutrition
Children who are identified as deficit on nutrition are eligible for additional food supplements.,শিশু সকল যি পুষ্টিৰ অভাৱত ভোগা বুলি চিনাক্ত হৈছে তেওঁলোক অতিৰিক্ত খাদ্যৰ পৰিপূৰকৰ বাবে যোগ্য।,Children who are identified as undernourished are eligible for supplementary nutrition.
Who is eligible for additional supplementary food.,অতিৰিক্ত পৰিপূৰক খাদ্যৰ বাবে কোন যোগ্য।,No additional supplements are eligible for food.
"Uploading of Data of Anganwadi Services Schemes in Poshan Tracker (24 May, 2021)","পোষাণ ট্ৰেকাৰত অংগনৱাডী সেৱা আঁচনিৰ তথ্য আপলোড কৰা ( ২৪ মে, ২০২১)","Uploading of Anganwadi Services Scheme information on Poshan Tracker (24th May, 2021)"
Children between 6 months - 3 years,চিলড্রেন বেটোফেন ৬ মাস-৩ ইযার্স,Children Beethoven 6 Months - 3 Years
"Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi","মহিলা আৰু শিশু বিকাশ মন্ত্ৰালয, ভাৰত চৰকাৰ, শাস্ত্ৰী ভৱন,","Ministry of Women and Child Development, Government of India, Shastri Bhawan,"
Care of the weak newborn baby - How many weak babies are we missing?,দূৰ্বল নৱজাতকৰ যত্ন - কিমান দূৰ্বল কেচুৱাক আমি হেৰুৱাই আহিছো?,How weak are we to take care of our weak newborn?
Underweight children who received Supplementary Nutrition,কম ওজনৰ শিশু যি পৰিপূৰক পুষ্টি লাভ কৰিছে,Low birth weight babies who receive adequate nutrition
This defense and indemnification obligation will survive this Agreement and your use of the Service and Website/App.,এই প্ৰতিৰক্ষা আৰু ক্ষতিপূৰণৰ বাধ্যবাধকতাই এই চুক্তি আৰু সেৱা আৰু ৱেবচাইট/ এপৰ আপোনাৰ ব্যৱহাৰ অক্ষুন্ন ৰাখিব।,This defence and indemnity obligation will ensure that this agreement and the use of the service and the website / app remain intact.
Identification and care of a Weak Newborn baby,এগৰাকী দূৰ্বল নৱজাতকৰ চিনাক্তকৰণ আৰু যতন,Identification and Nurturing of a Weak Newborn
1.2. Information from use of services.,1.2. সেৱা সমূহৰ ব্যৱহাৰৰ পৰা তথ্য।,1.2 Data on use of services.
Please contact your respective Anganwadi Centre.,অনুগ্ৰহ কৰি আপোনাৰ সংশ্লিষ্ট অংগনৱাডী কেন্দ্ৰত যোগাযোগ কৰক।,Please contact your nearest Anganwadi Centre.
GOBARDANGA I. C. D. S PROJECT(U),গোবৰদাঙ্গা আই. চি. ডি. এছ. প্ৰকল্প (ইউ),Gobardanga ICDS Project (U)
Please fill in the form below to create a new ticket.,এটা নতুন টিকত প্ৰস্তুত কৰিবলৈ তলত দিযা ফৰ্মখন অনুগ্ৰহ কৰি পূৰ কৰা।,Please fill out the form below to prepare a new note.
Anganwadi Worker will reach out to you within 48 hours.,অংগনৱাডী কৰ্মীসকল 48 ঘন্টাৰ ভিতৰত আপোনাৰ ওচৰত আহি পাব।,Anganwadi workers will come to you in 48 hours.
Please note down the ticket number for future reference.,অনুগ্ৰহ কৰি ভৱিষ্যতৰ প্ৰসংগৰ বাবে টিকট নম্বৰটো মন কৰিব।,Please note down the ticket number for future reference.
Poshan Tracker is a project of Ministry of Women and Child Development.,পোশান ট্ৰেকাৰ হৈছে মহিলা আৰু শিশু বিকাশ মন্ত্ৰালযৰ এটা প্ৰকল্প।,Poshan Tracker is a project of the Ministry of Women and Child Development.
Digital India Corporation is the technical partner of MoWCD.,ডিজিটেল ইণ্ডিযা কৰ্পোৰেচন হৈছে এমঅ'ডব্লিউচিডিৰ কাৰিকৰী অংশীদাৰ।,Digital India Corporation is the Technical Partner of MOWDs.
Poshan Tracker focuses on eradication of malnutrition from India.,পোশান ট্ৰেকাৰে ভাৰতৰ পৰা পুষ্টিহীনতা নিৰ্মূলৰ ওপৰত গুৰুত্ব আৰোপ কৰিছে।,Poshan Tracker focuses on eliminating malnutrition in India.
It serves as a mechanism to monitor and improvise on the service delivery under Poshan Abhiyaan,ই পোশান অভিযানৰ অধীনত সেৱা প্ৰদান নিৰীক্ষণ আৰু উন্নত কৰাৰ এক প্ৰণালী হিচাপে কাম কৰে,It acts as a mechanism for monitoring and improving service delivery under POSHAN Abhiyaan
Is poshan trackers app available over Apple I Store also?,পোচান ট্ৰেকএপটো এপল আই ষ্টোৰত উপলব্ধ নেকি?,Is Posion TrackApp available on Apple iStore?
Number of records becoming inactive and number of records migrating from one category to another,নিষ্ক্ৰিয হৈ পৰা ৰেকৰ্ডৰ সংখ্যা আৰু এটা শ্ৰেণীৰ পৰা আন এটা শ্ৰেণীলৈ প্ৰব্ৰজন কৰা ৰেকৰ্ডৰ সংখ্যা,Number of deactivated records and number of records migrated from one category to another category
In How many languages the Poshan Tracker App is available?,কেইটা ভাষাত পোষণ ট্ৰেকাৰ এপ উপলব্ধ?,In which languages is the Poshan Tracker App available?
AWWs are requested to enter their mobile numbers in the Login screen.,লগইন স্ক্ৰীনত তেওঁলোকৰ ম'বাইল নম্বৰসমূহ ভৰ্তি ককৰিবলৈ AWWক অনুৰোধ কৰা হৈছে।,AWW has been requested to fill their mobile numbers on the login screen.
"An OTP will be sent to your registered mobile number, post which you are required too set your MPIN.","আপোনাৰ পঞ্জীভুক্ত ম'বাইল নম্বৰটোলৈ এটা OTP প্ৰেৰণ কৰা হ'ব, যিটো আপোনাৰ MPIN স্থাপন কৰিবলৈ প্ৰযোজন হ'ব।","An OTP will be sent to your registered mobile number, which will be used to set up your MPIN."
Measles Containing vaccine (MCV)/MR-2JE-2**DiphtheriaPertussis & Tetanus (DPT)-Booster-1OPV –Booster,সৰু আই যুক্ত ভেকচিন (MCV)/MR-2JE-2**ডিফথেৰিযাপাৰ্টুছিচ আৰু টিটেনাছ (DPT)-বুষ্টাৰ-1OPV -বুষ্টাৰ,Vaccine with small I (MCV) / MR-2JE-2 * Diphtheria and Tetanus (DPT) -Booster-1OPV-Booster
The Poshan Tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on defined indicators.,পোষণ ট্ৰেকাৰে সংজ্ঞাযিত ইণ্ডিকেটৰৰ ওপৰত সকলো AWC আৰু হিতাধিকাৰীসকলৰ বাস্তৱ-সমযত নিৰীক্ষণ আৰু ট্ৰেকিং সক্ৰিয কৰি তোলে।,POSHAN tracker enables real time monitoring and tracking of all AWCs and beneficiaries on the indicator.
It is built using centralized data architecture that also aligns with the digital technology systems of other ministries and programs.,ইযাক কেন্দ্ৰীকৃত ডাটা আৰ্কিটেকচাৰ ব্যৱহাৰ কৰি সাজি উলিওৱা হয যি আন মন্ত্ৰালয আৰু প্ৰগ্ৰাম সমূহৰ ডিজিটেল প্ৰযুক্তি চিষ্টেমৰ সৈতে সমৰৈখিক হয।,It uses a centralized data architecture that is aligned with the digital technology systems of other ministries and programs.
The public dashboard helps to impart transparency on services delivered to beneficiaries,ৰাজহুৱা ডেশ্ববোৰ্ডে হিতাধিকাৰীসকললৈ আগবঢোৱা সেৱা সমূহৰ ওপৰত স্বচ্চতা প্ৰদান কৰাত সহায কৰে,Public Dashboard helps in transparency on services offered to beneficiaries
Translations on the Poshan Tracker Portal & App Chabot are done by third party translators.,পোষণ ট্ৰেকাৰ পৰ্টেল আৰু এপ চাটব'টৰ অনুবাদ তৃতীয পক্ষ অনুবাদকৰ দ্বাৰা সম্পন্ন হয।,The translation of POSHAN tracker portal and app chatbot is done by third party translator.
"While the translations are done on a best effort basis, some of the parts may be incorrect.","যদিও অনুবাদ সমূহ সৰ্বোত্তম প্ৰযাসেৰে সম্পন্ন কৰা হয, কিছু অংশ অশুদ্ধও হৈ ৰব পাৰে।","Although translations are done with the best of efforts, some may be impure."
Certain files and other items on the website cannot be translated.,ৱেবচাইটটোৰ কিছুমান ফাইল বা আন সামগ্ৰী অনুবাদ কৰিব পৰা নাযায।,Some files or other items on the website could not be translated.
"In addition, on translation, some applications and/or services may not function as expected, due to language barriers.","ইযাৰ উপৰি, অনুবাদত, কিছুমান এপ্লিকেচন আৰু/বা সেৱাই ভাষাৰ অন্তৰাযৰ ফলত, আশানুৰূপ ভাৱে কাম নকৰিব পাৰে।","Moreover, translation, some applications and / or services may not work as expected, due to language barriers."
"We are working constantly to rectify any errors, omissions, or ambiguities in the translations provided on this portal.","আমি এই পৰ্টেলত আগবঢোৱা অনুবাদ সমূহত যিকোনো ত্ৰুটি, বাদ পৰা তথ্য, বা অন্য সম্ভাৱনা সংশোধন কৰিবলৈ অবিৰত কাম কৰি আছো।","We are constantly working to correct any errors, omissions, or other possible translation errors that may have crept into this portal."
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA)","MGRS-যে ব্যাপক ৰূপত বিভিন্ন নৃগোষ্ঠীগত পটভূমি আৰু সাংস্কৃতিক পৃষ্ঠভূমিৰ (ব্ৰাজিল, ঘানা, ভাৰত, নৰৱে, ওমন আৰু USA) পৰা প্ৰায 8500 গৰাকী শিশুৰ পৰা প্ৰাথমিক বিকাশত তথ্য আৰু সম্পৰ্কিত তথ্য সংগ্ৰহ কৰিছিল।","MGRS collected data and information on early development of around 8500 children from a wide range of ethnic and cultural backgrounds (Brazil, Ghana, India, Norway, Oman and USA)."
Children of different age groups are monitored on monthly basis by AWWs.,বিভিন্ন বযসৰ শিশু সকল মাহেকীযা ভিত্তিত AWW সকলৰ দ্বাৰা নিৰীক্ষিত হয।,Children of different ages are tested on a monthly basis by AWW.
"Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards.","বাওনা হোৱা, পুষ্টিহীনতাত ভোগা আৰু কম ওজনৰ বিস্তাৰৰ দৰে স্বাস্থ্যজনিত সূচক সমূহ WHO মান অনুসৰি জোখা হয।","Health indicators such as undernourished, undernourished and underweight prevalence are in line with WHO standards."
Regular growth monitoring helps AWWs to provide relevant and timely assistance to children,নিযমীযা বৃদ্ধিৰ নিৰীক্ষণে AWW সকলক শিশুসকললৈ প্ৰাসংগিক আৰু সমযমতে সহযোগিতা আগবঢোৱাত সহায কৰে,Regular growth monitoring helps AWWs to provide relevant and timely support to children
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","শিশুসকলৰ মাজত শিশু বাওনা হোৱা, বিষমপপুষ্টিক বাধা দিবলৈ পুষ্টিহীনতাৰ বাবে সজাগতা",Awareness among children on malnutrition to prevent malnourishment
Poshan Tracker adds new application features,পোশান ট্ৰেকাৰে নতুন এপ্লিকেচন সুবিধা যোগ কৰে,Adds new application feature to the Poshan Tracker
Making or Updating Home Visit Planner and Initiating home visits,হোম ভিজিটৰ প্লেনাৰ প্ৰস্তুত কৰা বা আপডেট কৰা আৰু হোপ ভিজিটৰ সূচনা কৰা,Preparation or updating of Home Visitor Planes and launch of Hope Visitor
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO),পোষণ কেলকুলেটৰ বিশ্ব স্বাস্থ্য সংস্থা (WHO) ৰ দ্বাৰা নিৰ্ধাৰিত মানৰ ওপৰত ভিত্তি কৰি শিশুৰ বিকাশ জুখিবলৈ সাজি উলিওৱা হৈছে,The POSHAN Calculator is designed to ensure child development based on the standards set by the World Health Organization (WHO)
Migrated from one category to another,এটা শ্ৰেণীৰ পৰা আন এটা শ্ৰেণীলৈ প্ৰব্ৰজন কৰা হৈছে,Migrating from one class to another
It usually occurs when a person has not had food of adequate quality and quantity and/or they have had frequent or prolonged illnesses,ই সাধাৰণতে তেতিযা সংঘটিত হয যেতিযা এগৰাকী লোকে পৰ্যাপ্ত মানদণ্ডৰ আৰু পৰিমাণৰ খাদ্য লাভ নকৰে আৰু/বা তেওঁলোকৰ ঘনাই হৈ থকা বা দীিৰ্গাযিত ৰোগ হয,It usually occurs when a person does not get adequate quality and quantity of food and / or has a chronic disease
Malnutrition is one of the most important challenges facing contemporary India.,মালনিউট্রিশন ২ ওযান অফ টি মোস্ট ইম্পরট্যান্ট চ্যালেঞ্জেস ফাকিং কনটেম্পোরারি ইন্ডিযা.,Malnutrition 2 Owns of the Most Important Challenges Facing Contemporary India.
Nutrition is acknowledged as central to the achievement of National and Global Sustainable Development Goals.,নিউট্রিশন ২ অকনোলেজড এস সেন্ট্রাল তো টি অ্যাচিভমেন্ট অফ ন্যাশনাল এন্ড গ্লোবাল সুস্টাইনাবলে ডেভেলপমেন্ট গোলস.,Nutrition 2 Unreached S Central to T Achievements of National and Global Sustainability Goals.
"Optimum and appropriate nutrition is essential for women and children to survive, thrive and break the intergenerational cycle of poor health and poverty in the community.","অপটিমাম এন্ড অপপ্রোপ্রিযেতে নিউট্রিশন ২ এসএনটিযাল ফর ওমেন এন্ড চিলড্রেন তো সুরভিভে, থ্রিভে এন্ড ব্র্যাক ইন্টারগেনেরাশনাল সাইকেল অফ পুওর হেলথ এন্ড পভার্টি ইন টি কমিউনিটি.","Optimal and Optimal Nutrition 2 SANTIAL FOR OMEN AND CHILDREN To SURVIVE, THREEVE AND BRAC INTERNATIONAL BICYCLES OF POWER HEALTH AND POWERITY IN SOCIETY COMMUNITY."
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","শিশু, বযঃসন্ধিকাল, গৰ্ভাৱস্থাৰ বাবে পুষ্টিৰ ফলাফল উন্নত কৰাৰ বাবে পোষণ অভিযান হৈছে ভাৰতৰ মুখ্য কাৰ্যসূচী।","POSHAN Abhiyaan is India's flagship programme to improve the nutritional outcomes for children, adolescents and pregnant women."
Hot Cooked Meal (HCM) given in last 30 days,হট কুকড মীল (এইচচিএম) শেষৰ ৩০ দিনত দিযা হয,Hot Cooked Meal (HCM) provided in last 30 days
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,পোষণ ট্ৰেকাৰত অংগনৱাডী সেৱাসমূহৰ আঁচনি সমূহৰ ডাটা আপলোড হৈ আছে,Uploading data on schemes of Anganwadi Services to POSHAN tracker
The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries.,পোষণ ট্ৰেকাৰে গুৰুত্বপূৰ্ণ অন্তিম পৰ্যাযৰ হিতাধিকাৰীসকললৈ অটোমেটেড এলাৰ্ট উৎপাদন কৰে।,POSHAN tracker manufactures automated alerts for key end users.
It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers.,ই হিতাধিকাৰী আৰু ডিউটি কৰা সকলৰ বাস্তৱ সমযৰ উপস্থিতি নথিভুক্ত কৰাৰ দ্বাৰা ডেলিভাৰী চিষ্টেমৰ নিপুণ অডিট সুনিশ্চিত কৰে।,It ensures efficient audit of the delivery system by registering real time attendance of beneficiaries and all those on duty.
"This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact","এই মেনেজমেন্ট ইনফৰ্মেচন চিষ্টেমে নিপুণভাৱে জোখ লোৱাত, এনেদৰে ধনাত্মক প্ৰভাৱ উৎপন্ন কৰি আৰু নথিভুক্ত কৰি পৰিপুষ্টিৰ অনুষ্ঠানক সহায কৰিব","The Management Information System (MIS) will help in better understanding, generating and documenting positive impact on the validation exercise"
How can one Download Poshan Tracker App?,পোষণ ট্ৰেকাৰ এপ কেনেকৈ ডাউনলোড কৰিব পাৰি?,How to download the POSHAN tracker app
