eng,or,indic_trans_translated
"Howrah North (U) I. C. D. S. Project, Howrah","ହାୱଡା ନର୍ଥ (ୟୁ) ଆଇସିଡିଏସ ପ୍ରୋଜେକ୍ଟ, ହାୱଡା","Howrah North (U) ICDS Project, Howrah"
Birth Preparedness- For Institutional and Home Delivery,ଜନ୍ମ ପ୍ରସ୍ତୁତି- ଅନୁଷ୍ଠାନିକ ଏବଂ ଗୃହ ବିତରଣ ପାଇଁ,Birth Preparations for institutional and home delivery
New beneficiary addition with skip OTP option,ସ୍କିପ୍ OTP ବିକଳ୍ପ ସହିତ ନୂତନ ହିତାଧିକାରୀ ଯୋଗ,Add new beneficiary with OTP option
We are now available on Video Conference,ଆମେ ବର୍ତ୍ତମାନ ଭିଡିଓ କନଫରେନ୍ସରେ ଉପଲବ୍ଧ,We are now available through video conference
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms.","ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍ ଆଙ୍ଗାନୱାଡି କର୍ମକର୍ତ୍ତା, ଅଙ୍ଗନୱାଡି କେନ୍ଦ୍ରଗୁଡିକ ପାଇଁ ଫର୍ମରେ ହିତାଧିକାରୀଙ୍କ ତଥ୍ୟ ପ୍ରବେଶ କରିବା ପାଇଁ ଉଦ୍ଦିଷ୍ଟ ।",The POSHAN tracker app is meant for Anganwadi Workers and Anganwadi Centres to enter the details of the beneficiaries in the form.
It is not at all developed for general public.,ଏହା ସାଧାରଣ ଜନତାଙ୍କ ପାଇଁ ଏହା ବିକାଶ କରାଯାଇ ନାହିଁ ।,It is not meant for the common man.
Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak / Balika Spardha Mission is about celebrating the health of children in India.
It entails identification and awareness of health conditions and providing necessary support wherever required.,It entails identification and awareness of health conditions and providing necessary support wherever required.,It indicates identification and awareness of health conditions and providing adequate support wherever required.
”Our Privacy Policy applies when you use our Services (described below).,"""Our Privacy Policy applies when you use our Services (described below).",Our Privacy Policy applies when you use our Services (described below).
"This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared."
The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.
We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protect the security of your personal information and protecting your privacy.
How to revive your health if you are Underweight,ଯଦି ତୁମେ ଓଜନ କମ ତେବେ କିପରି ତୁମର ସ୍ୱାସ୍ଥ୍ୟକୁ ପୁନର୍ଜୀବିତ କରିବ ।,How will you regain health if you lose weight?
Can a beneficiary change his/her AWC?,ଜଣେ ହିତାଧିକାରୀ ତାଙ୍କର AWC ପରିବର୍ତ୍ତନ କରିପାରିବେ କି?,Can a beneficiary change his AWC?
"We use the information we have, to help verify accounts.The records may be used for verification of health status for the purposes of Poshan Tracker control and response.",ଖାତା ଯାଞ୍ଚ କରିବାରେ ସାହାଯ୍ୟ କରିବାକୁ ଆମେ ପାଖରେ ଥିବା ସୂଚନା ବ୍ୟବହାର କରୁ | ରେକର୍ଡଗୁଡିକ ପୃଷ୍ଟିକର ଟ୍ରାକର୍ ନିୟନ୍ତ୍ରଣ ଏବଂ ପ୍ରତିକ୍ରିୟା ଉଦ୍ଦେଶ୍ୟରେ ସ୍ୱାସ୍ଥ୍ୟ ସ୍ଥିତିର ଯାଞ୍ଚ ପାଇଁ ବ୍ୟବହୃତ ହୋଇପାରେ |,We use the information available with us to help us check the account. The records can be used to check health status for the purpose of page tracker control and feedback.
Scan the QR Code to Download the App,ଆପ୍ ଡାଉନଲୋଡ୍ କରିବାକୁ କ୍ୟୁଆର୍ କୋଡ୍ ସ୍କାନ୍ କରନ୍ତୁ,Scan the QR code to download the app
Who is eligible for Hot Cooked Meal?,ଗରମ ରନ୍ଧା ଖାଦ୍ୟ ପାଇଁ କିଏ ଯୋଗ୍ୟ?,Who is eligible for hot cooked meals?
Identifying and preventing Severe Acute Malnutrition,ଗୁରୁତର ତୀବ୍ର ପୁଷ୍ଟିହୀନତାକୁ ଚିହ୍ନଟ କରିବା ଏବଂ ପ୍ରତିରୋଧ କରିବା,To identify and prevent severe acute malnutrition
Children who are identified as deficit on nutrition are eligible for additional food supplements.,ପୁଷ୍ଟିକର ଖାଦ୍ୟର ଅଭାବ ବୋଲି ଚିହ୍ନିତ ପିଲାମାନେ ଅତିରିକ୍ତ ଖାଦ୍ୟ ସପ୍ଲିମେଣ୍ଟ ପାଇଁ ଯୋଗ୍ୟ ଅଟନ୍ତି |,Children identified as deficient in nutrition are eligible for additional food supplements.
Who is eligible for additional supplementary food.,କିଏ ଅତିରିକ୍ତ ସପ୍ଲିମେଣ୍ଟାରୀ ଖାଦ୍ୟ ପାଇଁ ଯୋଗ୍ୟ ଅଟେ |,Who is eligible for additional supplementary food?
"Uploading of Data of Anganwadi Services Schemes in Poshan Tracker (24 May, 2021)","ପୋଷଣ ଟ୍ରାକରରେ ଅଙ୍ଗନୱାଡି ସେବା ସ୍କିମଗୁଡିକର ଡାଟା ଅପଲୋଡ୍ (24 ମଇ, 2021)","Upload data of Anganwadi Services Schemes to POSHAN Tracker (24th May, 2021)"
Children between 6 months - 3 years,6 ମାସ -3 ବର୍ଷ ମଧ୍ୟରେ ପିଲାମାନେ,Children between 6 months and 3 years
"Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi","ମହିଳା ଏବଂ ଶିଶୁ ବିକାଶ ମନ୍ତ୍ରଣାଳୟ, ଭାରତ ସରକାର, ଶାସ୍ତ୍ରୀ ଭବନ, ନୂଆଦିଲ୍ଲୀ","Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi"
Care of the weak newborn baby - How many weak babies are we missing?,ଦୁର୍ବଳ ନବଜାତ ଶିଶୁର ଯତ୍ନ - ଆମେ କେତେ ଦୁର୍ବଳ ଶିଶୁ ହରାଉଛୁ?,How many weak children are we losing?
Underweight children who received Supplementary Nutrition,ସପ୍ଲିମେଣ୍ଟାରୀ ପୁଷ୍ଟିକର ଗ୍ରହଣ କରିଥିବା ଅଳ୍ପ ଓଜନ ବିଶିଷ୍ଟ ପିଲାମାନେ,Low birth weight children who have taken supplementary nutrition
Identification and care of a Weak Newborn baby,ଏକ ଦୁର୍ବଳ ନବଜାତ ଶିଶୁର ପରିଚୟ ଏବଂ ଯତ୍ନ,Identification and Care of a Weaker Newborn
1.2. Information from use of services.,1.2. ସେବାଗୁଡିକର ବ୍ୟବହାରରୁ ସୂଚନା |,1.2 Information on use of services.
Please contact your respective Anganwadi Centre.,ଦୟାକରି ଆପଣଙ୍କର ସମ୍ପୃକ୍ତ ଅଙ୍ଗନୱାଡି କେନ୍ଦ୍ର ସହିତ ଯୋଗାଯୋଗ କରନ୍ତୁ |,Please get in touch with your respective Anganwadi Centre.
GOBARDANGA I. C. D. S PROJECT(U),ଗୋବର୍ଦଙ୍ଗା ଆଇସିଡିଏସ ପ୍ରକଳ୍ପ (ୟୁ),Gobardanga ICDS Project (U)
Please fill in the form below to create a new ticket.Anganwadi Worker will reach out to you within 48 hours.,ଦୟାକରି ଏକ ନୂତନ ଟିକେଟ୍ ସୃଷ୍ଟି କରିବାକୁ ନିମ୍ନରେ ଥିବା ଫର୍ମ ପୂରଣ କରନ୍ତୁ | ଅଙ୍ଗନୱାଡି କର୍ମୀ 48 ଘଣ୍ଟା ମଧ୍ୟରେ ଆପଣଙ୍କ ନିକଟରେ ପହଞ୍ଚିବ |,Please fill in the following forms to create a new ticket: Anganwadi workers will reach you within 48 hours.
Please note down the ticket number for future reference.,ଦୟାକରି ଭବିଷ୍ୟତ ରେଫରେନ୍ସ ପାଇଁ ଟିକେଟ୍ ନମ୍ବର୍ ନୋଟ୍ କରନ୍ତୁ।,Please note down the ticket number for future reference.
Poshan Tracker is a project of Ministry of Women and Child Development.,ପୋଷଣ ଟ୍ରାକର ହେଉଛି ମହିଳା ଏବଂ ଶିଶୁ ବିକାଶ ମନ୍ତ୍ରଣାଳୟର ଏକ ପ୍ରକଳ୍ପ ।,POSHAN tracker is a project of the Ministry of Women and Child Development.
Digital India Corporation is the technical partner of MoWCD.,ଡିଜିଟାଲ ଇଣ୍ଡିଆ କର୍ପୋରେସନ ହେଉଛି MoWCDର ବୈଷୟିକ ଅଂଶୀଦାର ।,Digital India Corporation is the technology partner of MoWCD.
Poshan Tracker focuses on eradication of malnutrition from India.,ପୋଷଣ ଟ୍ରାକର ଭାରତରୁ ପୁଷ୍ଟିହୀନତା ନିରାକରଣ ଉପରେ ଧ୍ୟାନ ଦେଇଥାଏ ।,POSHAN tracker focuses on the prevention of malnutrition in India.
It serves as a mechanism to monitor and improvise on the service delivery under Poshan Abhiyaan,ଏହା ପୋଷଣ ଅଭିଯାନ ଅଧୀନରେ ସେବା ବିତରଣ ଉପରେ ନଜର ରଖିବା ଏବଂ ଉନ୍ନତି କରିବା ପାଇଁ ଏକ ପ୍ରଣାଳୀ ଭାବରେ କାର୍ଯ୍ୟ କରେ,It acts as a mechanism to monitor and improve service delivery under POSHAN Abhiyaan
Is poshan trackers app available over Apple I Store also?,ଆପଲ୍ ଆଇ ଷ୍ଟୋରରେ ପୋଷନ୍ ଟ୍ରାକ୍ ଆପ୍ ମଧ୍ୟ ଉପଲବ୍ଧ ରହିଛି କି?,Are POSHAN TRACK APP also available on Apple App Store?
Number of records becoming inactive and number of records migrating from one category to another,ରେକର୍ଡଗୁଡିକର ସଂଖ୍ୟା ନିଷ୍କ୍ରିୟ ହେବା ଏବଂ ଗୋଟିଏ ବର୍ଗରୁ ଅନ୍ୟ ବର୍ଗକୁ ସ୍ଥାନାନ୍ତରିତ ରେକର୍ଡ୍ ସଂଖ୍ୟା,Number of records disabled and transferred from one class to another
In How many languages the Poshan Tracker App is available?,ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍ କେତୋଟି ଭାଷାରେ ଉପଲବ୍ଧ ରହିଛି?,Poshan Tracker App is available in how many languages
AWWs are requested to enter their mobile numbers in the Login screen.,ଏଡବ୍ଲ୍ୟୁଡବ୍ଲ୍ୟୁମାନଙ୍କୁ ଲଗଇନ୍ ସ୍କ୍ରିନରେ ନିଜର ମୋବାଇଲ୍ ନମ୍ବର ପ୍ରବେଶ କରିବାକୁ ଅନୁରୋଧ କରାଯାଇଛି ।,AWWs have been requested to enter their mobile number on the login screen.
"An OTP will be sent to your registered mobile number, post which you are required too set your MPIN.","ଆପଣଙ୍କର ପଞ୍ଜୀକୃତ ମୋବାଇଲ୍ ନମ୍ବରକୁ ଏକ ଓଟିପି ପଠାଯିବ, ଯାହାପରେ ଆପଣଙ୍କୁ ଏମ୍ପିଆଇଏନ୍ ସେଟ୍ କରିବାକୁ ପଡିବ ।","An OTP will be sent to your registered mobile number, after which you will be required to set an MPIN."
Measles Containing vaccine (MCV)/MR-2JE-2**DiphtheriaPertussis & Tetanus (DPT)-Booster-1OPV –Booster,ମିଳିମିଳା ଧାରଣକାରୀ ଟିକା (MCV) / MR-2JE-2**ଡିଫଥେରିଆପର୍ଟୁସିସ୍ ଏବଂ ଟିଟାନସ୍ (DPT) -ବଷ୍ଟର -1OPV - ବୁଷ୍ଟର,Combination of Vaccine (MCV) / MR-2JE-2 * Deforestation and Tetanus (DPT) -Buster-1OPV-Booster
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA)","MGRS ପ୍ରାଥମିକ ଅଭିବୃଦ୍ଧି ତଥ୍ୟ ଏବଂ ଆନୁସଙ୍ଗିକ ସୂଚନା ପ୍ରାୟ 8500 ପିଲାଙ୍କ ଠାରୁ ବିଭିନ୍ନ ଜାତିଗତ ପୃଷ୍ଠଭୂମି ଏବଂ ସାଂସ୍କୃତିକ ସେଟିଂସମୂହ (ବ୍ରାଜିଲ, ଘାନା, ଭାରତ, ନରୱେ, ଓମାନ ଏବଂ ଯୁକ୍ତରାଷ୍ଟ୍ର) ରୁ ସଂଗ୍ରହ କରିଥିଲା   |","MGRS collected primary growth data and relevant information from around 8500 children from different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and USA)."
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","ପିଲାମାନଙ୍କ ପାଇଁ ସଚେତନତା, ପିଲାମାନଙ୍କଠାରେ ପୁଷ୍ଟିହୀନତାକୁ ରୋକିବା ପାଇଁ ଅପଚୟ","Awareness for children, wastage to prevent malnutrition in children"
Poshan Tracker adds new application features,ପୋଷଣ ଟ୍ରାକର୍ ନୂତନ ଆପ୍ଲିକେସନ୍ ବୈଶିଷ୍ଟ୍ୟଗୁଡିକ ଯୋଡିଥାଏ,The POSHAN tracker adds new application features
Making or Updating Home Visit Planner and Initiating home visits,ଘର ପରିଦର୍ଶନ ଯୋଜନା ପ୍ରସ୍ତୁତ କରିବା କିମ୍ବା ଅଦ୍ୟତନ କରିବା ଏବଂ ଘର ପରିଦର୍ଶନ ଆରମ୍ଭ କରିବା,To prepare or update a home visit plan and initiate a home visit
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO),ବିଶ୍ୱ ସ୍ୱାସ୍ଥ୍ୟ ସଂଗଠନ (WHO) ଦ୍ୱାରା ବ୍ୟାଖ୍ୟା କରାଯାଇଥିବା ମାନାଙ୍କ ଉପରେ ଆଧାର କରି ଶିଶୁର ଅଭିବୃଦ୍ଧି ମାପିବା ପାଇଁ ପୃଷ୍ଟିକର କାଲ୍କୁଲେଟର ଡିଜାଇନ୍ କରାଯାଇଛି,Parental calculator designed to measure child growth based on standards defined by World Health Organization (WHO)
Migrated from one category to another,ଗୋଟିଏ ବର୍ଗରୁ ଅନ୍ୟ ବର୍ଗକୁ ସ୍ଥାନାନ୍ତରିତ ହୋଇଛି,Moved from one class to another
It usually occurs when a person has not had food of adequate quality and quantity and/or they have had frequent or prolonged illnesses,ଏହା ସାଧାରଣତ ଘଟେ ଯେତେବେଳେ ଜଣେ ବ୍ୟକ୍ତିର ପର୍ଯ୍ୟାପ୍ତ ଗୁଣ ଏବଂ ପରିମାଣର ଖାଦ୍ୟ ନଥାଏ ଏବଂ / କିମ୍ବା ସେମାନଙ୍କର ବାରମ୍ବାର କିମ୍ବା ଦୀର୍ଘସ୍ଥାୟୀ ରୋଗ ହୋଇଥାଏ |,This usually happens when an individual does not have adequate quality and quantity of food and / or have frequent or chronic disease.
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","ଶିଶୁ, କିଶୋର, ଗର୍ଭବତୀମାନଙ୍କ ପାଇଁ ପୁଷ୍ଟିକର ପରିଣାମକୁ ସୁଦୃଢ କରିବା ପାଇଁ ପୋଷନ୍ ଅଭିଆନ୍ ହେଉଛି ଭାରତର ଏକ ପ୍ରମୂଖ କାର୍ଯ୍ୟକ୍ରମ ।","POSHAN Abhiyaan is India's flagship programme for strengthening nutrition outcomes for children, adolescents and pregnant women."
Hot Cooked Meal (HCM) given in last 30 days,ବିଗତ 30 ଦିନ ମଧ୍ୟରେ ଦିଆଯାଇଥିବା ଗରମ ଭୋଜନ (HCM),Hot Meals (HCM) served during last 30 days
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,ପୃଷ୍ଟିକର ଟ୍ରାକରରେ ଅଙ୍ଗନୱାଡି ସେବା ଯୋଜନା ଗୁଡିକର ଡାଟା ଅପଲୋଡ୍,Upload data of Anganwadi Services Schemes in the Page Tracker
How can one Download Poshan Tracker App?,ଜଣେ କିପରି ଭାବେ ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍ ଡାଉନଲୋଡ୍ କରିପାରିବେ?,How one can download the Poshan Tracker App
"Clarification regarding Cost of Smart phones (03 June, 2021)","ସ୍ମାର୍ଟ ଫୋନର ମୂଲ୍ୟ ବିଷୟରେ ସ୍ପଷ୍ଟୀକରଣ (03 ଜୁନ୍, 2021)","Clarification regarding Price of Smartphones (June 03, 2021)"
along with status update once resolved,ଥରେ ସମାଧାନ ହେବା ପରେ ସ୍ଥିତି ଅପଡେଟ୍ ସହ,With status update once resolved
Poshan Tracker adds new Resources on Website,ପୋଷଣ ଟ୍ରାକର୍ ୱେବସାଇଟ୍ ବୈଶିଷ୍ଟ୍ୟରେ ନୂତନ ଉତ୍ସ ଯୋଡିଥାଏ,Adds new sources to the POSHAN Tracker website feature
"If this is your first time contacting us or you've lost the ticket number, please open a new ticket","ଯଦି ଏହା ଆମର ପ୍ରଥମ ଥର ଆମ ସହିତ ଯୋଗାଯୋଗ କରେ କିମ୍ବା ଆପଣ ଟିକେଟ୍ ନମ୍ବର ହରାଇଛନ୍ତି, ଦୟାକରି ଏକ ନୂତନ ଟିକେଟ୍ ଖୋଲନ୍ତୁ","If this is our first contact or you have lost your ticket number, please open a new ticket"
"Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery","ପୋଶାନ୍ ଟ୍ରାକର୍ ଅନ୍ତର୍ଗତ ଟେକ୍ନୋଲୋଜିକୁ ଷ୍ଟଣ୍ଟିଂ, ଅପଚୟ, ପିଲାମାନଙ୍କ ମଧ୍ୟରେ କମ୍ ଓଜନ ପ୍ରାଦୁର୍ଭାବ ଏବଂ ପୁଷ୍ଟିକର ସେବା ବିତରଣର ଶେଷ ମାଇଲ୍ ଟ୍ରାକିଂର ଗତିଶୀଳ ଚିହ୍ନଟ ପାଇଁ ବ୍ୟବହାର କରାଯାଉଛି |","The technology under Apparel Tracker is being used for dynamic tracking of last mile tracking of stunting, wasting, low weight prevalence among children and delivery of nutritional services."
"The System also takes feedback about system performance and experience.Information on name, mobile number, date of registration and health status may be used for these purposes","ସିଷ୍ଟମ୍ କାର୍ଯ୍ୟଦକ୍ଷତା ଏବଂ ଅଭିଜ୍ଞତା ବିଷୟରେ ମତାମତ ମଧ୍ୟ ନେଇଥାଏ | ଏହି ଉଦ୍ଦେଶ୍ୟରେ ନାମ, ମୋବାଇଲ୍ ନମ୍ବର, ପଞ୍ଜୀକରଣ ତାରିଖ ଏବଂ ସ୍ୱାସ୍ଥ୍ୟ ସ୍ଥିତି ବିଷୟରେ ସୂଚନା ବ୍ୟବହୃତ ହୋଇପାରେ |","The system also takes feedback about performance and experience, for which information such as name, mobile number, registration date and health status can be used."
Tracking of services to the end beneficiary at a click of a button.,ଏକ ବଟନ୍ କ୍ଲିକ୍ କରି ଶେଷ ହିତାଧିକାରୀଙ୍କୁ ସେବାଗୁଡିକର ଟ୍ରାକିଂ କର।,Click on the button to track the services rendered to the last beneficiary.
"Services like Take Home Ration (THR) and Hot cooked Meal (HCM), vaccination for Infants and Pregnant Women","ଘରର ରାସନ ନିଅ (THR) ଏବଂ ରନ୍ଧା ଖାଦ୍ୟ (HCM), ଶିଶୁ ଏବଂ ଗର୍ଭବତୀ ମହିଳାଙ୍କ ପାଇଁ ଟୀକାକରଣ ପରି ସେବାଗୁଡିକ |",Take Home Ration (THR) and Kitchen (HCM) services like immunization for children and pregnant women.
"New Poshan Tracker App (13 January, 2021)","ନୂତନ ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍ (13 ଜାନୁଆରୀ, 2021)","New POSHAN Tracker App (13th January, 2021)"
Preventing illnesses to avert Malnutrition and Death,ପୁଷ୍ଟିହୀନତା ଏବଂ ମୃତ୍ୟୁକୁ ରୋକିବା ପାଇଁ ରୋଗକୁ ରୋକିବା,Preventing Malnutrition and Infertility
Scan the QR Code to Download the App,ଆପ୍ ଡାଉନଲୋଡ୍ କରିବାକୁ QR କୋଡ୍ ସ୍କାନ୍ କରନ୍ତୁ,Scan the QR code to download the app
Pregnant women who received Take Home Ration (THR),ଗର୍ଭବତୀ ମହିଳାମାନେ ଯେଉଁମାନେ ଘର ରାସନ (THR) ଗ୍ରହଣ କରିଥିଲେ,Pregnant Women who took Home Ration (THR)
General Awareness on SAM and MAM,SAM ଏବଂ MAM ଉପରେ ସାଧାରଣ ସଚେତନତା,General Awareness on SAM and MAM
"App can be accessed offline, currently daily tracking feature is available for offline data entry.Offline mode can store latest 3 days data.","ନା, ବୈଧ ଇଣ୍ଟରନେଟ୍ ସଂଯୋଗ ବିନା ଆପ୍ କାମ କରିବ ନାହିଁ ।","No, the app will not work without a valid internet connection."
